Case_ID,Attack_Type,Country,Region,Location,Victim_Name,Injury,Fatal,original order,Ages,Dates,Days,Months,Years,Sex_U,Sex_M,Activities,Species_Shark,long_shark
2017.06.11,Unprovoked,Australia,Western Australia,"Point Casuarina, Bunbury",Paul Goff,"No injury, board bitten",N,6095.0,48,11-06-2017,11.0,6.0,2017.0,M,M,boarding,White Shark,4.0
2017.06.10.b,Unprovoked,Australia,Victoria,"Flinders, Mornington Penisula",female,"No injury, knocke off board",N,6094.0,27,10-06-2017,10.0,6.0,2017.0,F,F,surfing,Gill Shark,Unknown
2017.06.10.a,Unprovoked,United States,Florida,"Ponce Inlet, Volusia County",Bryan Brock,Laceration to left foot,N,6093.0,19,10-06-2017,10.0,6.0,2017.0,M,M,surfing,Unknown,Unknown
2017.06.07.R,Unprovoked,United Kingdom,South Devon,Bantham Beach,Rich Thomson,"Bruise to leg, cuts to hand sustained when he hit the shark",N,6092.0,30,07-06-2017,7.0,6.0,2017.0,M,M,surfing,Shark,3.0
2017.06.04,Unprovoked,United States,Florida,"Middle Sambo Reef off Boca Chica, Monroe County",Parker Simpson,Laceration to shin,N,6091.0,27,04-06-2017,4.0,6.0,2017.0,M,M,fishing,Shark,2.44
2017.06.02,Unprovoked,Bahamas,New Providence ,Athol Island,Tiffany Johnson,Right forearm severed ,N,6090.0,32,02-06-2017,2.0,6.0,2017.0,F,F,snorkeling,Tiger Shark,Unknown
2017.05.30,Provoked,United States,South Carolina,"Awendaw, Charleston County",Mackenzie Higgins,Right hand bitten by hooked shark PROVOKED INCIDENT,N,6089.0,20,30-05-2017,30.0,5.0,2017.0,F,F,other,Shark,0.91
2017.05.28,Unprovoked,United States,Florida,Off Jupiter,Randy Jordan,Lacerations to right arm,N,6088.0,27,28-05-2017,28.0,5.0,2017.0,M,M,other,Tiger Shark,Unknown
2017.05.27,,Australia,New South Wales,Evans Head,Terry Selwood,Abrasion to right forearm from pectoral fin of a shark that leapt into his boat,N,6087.0,73,27-05-2017,27.0,5.0,2017.0,M,M,fishing,Unknown,Unknown
2017.05.12,Unprovoked,United Arab Emirates,"Sharjah, ",Khor Fakkan,Al Beloushi  ,Right leg severely bitten,N,6086.0,41,12-05-2017,12.0,5.0,2017.0,M,M,fishing,Unknown,Unknown
2017.05.06.R,Provoked,Australia,Queensland,Weipa,Josh Neille,Thigh nipped PROVOKED INCIDENT,N,6085.0,29,06-05-2017,6.0,5.0,2017.0,M,M,other,Shark,2.74
